Receipted donations  (0%)
Receipted donations  (0%)
Receipted donations $317,296 (100%)
Receipted donations  (0%)
Receipted donations $2,600 (100%)
Receipted donations  (0%)
Receipted donations $173,698 (87%)
Receipted donations $71,835 (59%)
Receipted donations $326,137 (46%)
Receipted donations $13,600 (82%)
Receipted donations $21,346 (94%)
Receipted donations $189,350 (74%)
Receipted donations $116,077 (17%)
Receipted donations  (0%)
Receipted donations  (0%)
Receipted donations $326,319 (88%)
Receipted donations $110,558 (57%)
Receipted donations $319,198 (44%)
Receipted donations $224,796 (100%)
Receipted donations $228,120 (74%)
Receipted donations $577,372 (100%)
Receipted donations  (0%)
Receipted donations $18,088 (48%)
Receipted donations $302,360 (72%)
Receipted donations $284,722 (17%)
Receipted donations $92,819 (100%)
Receipted donations $2,189,165 (42%)
Receipted donations $536,206 (62%)
Receipted donations $563,538 (64%)
Receipted donations $84,840 (6%)
Receipted donations $289,709 (37%)
Receipted donations $147,230 (100%)
Receipted donations $94,125 (100%)
Receipted donations $58,585 (35%)
Receipted donations $57,100 (50%)
Receipted donations $42,759 (93%)
Receipted donations  (0%)
Receipted donations $26,227 (38%)
Receipted donations $49,376 (63%)
Receipted donations $68,027 (15%)
Receipted donations  (0%)
Receipted donations $690,112 (90%)
Receipted donations $5,799 (2%)
Receipted donations $30,560 (92%)
Receipted donations $10,059 (16%)
Receipted donations $16,150 (80%)
Receipted donations $25,792 (66%)
Receipted donations $1,644,704 (100%)
Receipted donations  (0%)
Receipted donations $144,595 (88%)
Receipted donations $895,901 (40%)
Receipted donations $13,474 (30%)
Receipted donations  (0%)
Receipted donations $61,900 (10%)
Receipted donations $2,000 (100%)
Receipted donations $5,600 (100%)
Receipted donations $670,730 (42%)
Receipted donations $26,905 (61%)
Receipted donations $31,686 (100%)
Receipted donations $1,361,429 (69%)
Receipted donations $14,530 (100%)
Receipted donations $1,051,658 (57%)
Receipted donations $90,109 (89%)
Receipted donations $120,642 (42%)
Receipted donations  (0%)
Receipted donations $14,125 (1%)
Receipted donations $420,172 (32%)
Receipted donations $42,725 (95%)
Receipted donations $428,082 (20%)
Receipted donations $552,976 (53%)
Receipted donations $17,700 (40%)
Receipted donations $3,800 (24%)
Receipted donations $5,200 (10%)
Receipted donations $86,554 (99%)
Receipted donations $2,931,798 (70%)
Receipted donations $154,715 (31%)
Receipted donations $67,988 (89%)
Receipted donations $190,893 (44%)
Receipted donations $109,680 (10%)
Receipted donations $36,425 (50%)
Receipted donations $1,092,031 (41%)
Receipted donations  (0%)
Receipted donations $3,100 (46%)
Receipted donations $60,729 (100%)
Receipted donations $131,448 (89%)
Receipted donations  (0%)
Receipted donations $135,837 (65%)
Receipted donations $77,747 (85%)
Receipted donations $13,421,839 (64%)
Receipted donations $1,343,664 (57%)
Receipted donations $148,113 (84%)
Receipted donations $64,788 (98%)
Receipted donations $54,853 (100%)
Receipted donations $74,553 (31%)
Receipted donations $29,692 (34%)
Receipted donations  (0%)
Receipted donations $17,572 (18%)
Receipted donations $55,789 (13%)
Receipted donations $1,060,868 (61%)
Receipted donations $203,074 (44%)
Receipted donations  (0%)
Receipted donations $179,945 (34%)
Receipted donations $61,707 (18%)
Receipted donations $735 (34%)
Receipted donations $221,448 (42%)
Receipted donations $8,713 (98%)
Receipted donations $1,917,823 (46%)
Receipted donations $27,170 (58%)
Receipted donations $49,885 (41%)
Receipted donations $81,276 (96%)
Receipted donations $288,639 (96%)
Receipted donations $932,375 (91%)
Receipted donations $44,888 (53%)
Receipted donations $367,736 (66%)
Receipted donations  (0%)
Receipted donations $32,441 (64%)
Receipted donations $31,600 (33%)
Receipted donations $22,066 (66%)
Receipted donations $3,910 (73%)
Receipted donations $52,664 (57%)
Receipted donations $257,136 (80%)
Receipted donations $7,290 (23%)
Receipted donations $60,300 (100%)
Receipted donations $3,821 (100%)
Receipted donations  (0%)
Receipted donations $197,900 (69%)
Receipted donations $3,299,153 (44%)
Receipted donations $697,754 (65%)
Receipted donations $248,580 (86%)
Receipted donations $104,967 (76%)
Receipted donations $414,082 (85%)
Receipted donations $16,425,311 (100%)
Receipted donations $2,114,217 (35%)
Receipted donations $60,980 (68%)
Receipted donations  (0%)
